id,Geographic Area Name,County,Total Households,With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,With dial-up Internet subscription alone PERCENT,With a broadband Internet subscription PERCENT,Without an Internet subscription PERCENT,Better than US average - With dial-up Internet subscription alone,Better than US average - With a broadband Internet subscription,Better than US average - Without an Internet subscription,GEOID
1400000US35057963202,"Census Tract 9632.02, Torrance County, New Mexico","Torrance County, New Mexico",1499.4654999999998,17.029267499999996,1003.8098894999998,478.62634299999996,0.011356891839125341,0.6694451386177275,0.3191979695431472,1.8392229597813352,-0.19051373806804422,-0.8776351149596894,35057963202
1400000US35061970101,"Census Tract 9701.01, Valencia County, New Mexico","Valencia County, New Mexico",1731.1965,9.571955999999998,1186.0065705000002,534.956181,0.005529098516546214,0.6850791175351846,0.30900950931913274,0.3822746291365535,-0.17160928955842258,-0.8177029959948983,35061970101
1400000US35061971000,"Census Tract 9710, Valencia County, New Mexico","Valencia County, New Mexico",2383.808,13.183296,1633.4644480000002,736.2482400000001,0.0055303514376996805,0.6852332268370608,0.3088538338658148,0.3825878594249201,-0.17142294215591206,-0.8167872580342044,35061971000
1400000US35061970301,"Census Tract 9703.01, Valencia County, New Mexico","Valencia County, New Mexico",3004.6859999999997,16.701152,2069.265126,917.5491199999999,0.005558368495077357,0.6886793248945148,0.30537271448663855,0.3895921237693392,-0.16725595538752755,-0.7963100852155207,35061970301
1400000US35061971100,"Census Tract 9711, Valencia County, New Mexico","Valencia County, New Mexico",527.1585,2.9326,363.3455925,160.67431599999998,0.005563032750112158,0.6892530282637954,0.3047931807985643,0.3907581875280395,-0.16656223910061022,-0.7929010635209665,35061971100
1400000US35061971300,"Census Tract 9713, Valencia County, New Mexico","Valencia County, New Mexico",907.2830000000001,5.082996000000001,629.7449230000002,272.09161500000005,0.005602437166793603,0.6940997715156132,0.2998971820258949,0.4006092916984008,-0.16070160638982692,-0.764101070740558,35061971300
1400000US35061970901,"Census Tract 9709.01, Valencia County, New Mexico","Valencia County, New Mexico",2255.526,12.662244000000001,1568.7336420000001,673.220079,0.005613876319758674,0.6955067873303169,0.298475867269985,0.4034690799396684,-0.15900025715802074,-0.7557403957057939,35061970901
1400000US35057963201,"Census Tract 9632.01, Torrance County, New Mexico","Torrance County, New Mexico",1669.275,18.376875,1155.827475,495.07065000000006,0.011008896077638494,0.6924128588758592,0.29657824504650226,1.7522240194096232,-0.1627414040195173,-0.7445779120382485,35057963201
1400000US35061970401,"Census Tract 9704.01, Valencia County, New Mexico","Valencia County, New Mexico",2355.4635,13.286016,1645.9572855000001,695.254158,0.005640510243525319,0.6987827599536143,0.2951666022419791,0.4101275608813298,-0.15503898433662125,-0.7362741308351711,35061970401
1400000US35057963700,"Census Tract 9637, Torrance County, New Mexico","Torrance County, New Mexico",904.3199999999999,9.930250000000001,627.83358,266.55616999999995,0.01098090277777778,0.6942604166666667,0.29475868055555554,1.745225694444445,-0.16050735590487708,-0.7338745915032677,35057963700
1400000US35061970800,"Census Tract 9708, Valencia County, New Mexico","Valencia County, New Mexico",2563.9425,14.498567999999999,1796.1435765,752.239656,0.0056547945205479445,0.7005397260273972,0.2933917808219178,0.4136986301369861,-0.1529144788060494,-0.7258340048348105,35061970800
1400000US35061970303,"Census Tract 9703.03, Valencia County, New Mexico","Valencia County, New Mexico",2682.2400000000002,15.209520000000001,1884.1821600000003,781.7281800000001,0.005670454545454545,0.7024659090909091,0.2914460227272727,0.4176136363636363,-0.15058535781026716,-0.714388368983957,35061970303
1400000US35061940300,"Census Tract 9403, Valencia County, New Mexico","Valencia County, New Mexico",431.293,2.450724,303.59551700000003,125.065371,0.005682271680736761,0.7039194167306217,0.2899777436684574,0.42056792018419026,-0.1488277911358867,-0.705751433343867,35061940300
1400000US35057963600,"Census Tract 9636, Torrance County, New Mexico","Torrance County, New Mexico",3323.4669999999996,36.209775,2326.154523,961.102702,0.010895181146676048,0.6999180443193811,0.28918677453394304,1.723795286669012,-0.15366621001284034,-0.7010986737290765,35057963600
1400000US35061970902,"Census Tract 9709.02, Valencia County, New Mexico","Valencia County, New Mexico",1113.942,6.341952,785.6298059999999,321.498696,0.0056932515337423314,0.7052699386503066,0.2886134969325153,0.4233128834355828,-0.1471947537481178,-0.6977264525442076,35061970902
1400000US35061970404,"Census Tract 9704.04, Valencia County, New Mexico","Valencia County, New Mexico",2315.5294999999996,13.267256,1643.4501355000002,657.810824,0.0057296855859534515,0.7097513270722746,0.28408656594528386,0.43242139648836286,-0.14177590438660875,-0.6710974467369638,35061970404
1400000US35061970200,"Census Tract 9702, Valencia County, New Mexico","Valencia County, New Mexico",1639.062,9.400032,1164.399246,464.55177599999996,0.0057350069735006975,0.7104058577405857,0.2834253835425383,0.43375174337517436,-0.14098445255068237,-0.6672081384855194,35061970200
1400000US35061970700,"Census Tract 9707, Valencia County, New Mexico","Valencia County, New Mexico",1991.846,11.512024,1425.938182,553.509634,0.0057795753286147625,0.7158877654196159,0.2778877654196158,0.4448938321536906,-0.13435578546600266,-0.634633914233034,35061970700
1400000US35061970302,"Census Tract 9703.02, Valencia County, New Mexico","Valencia County, New Mexico",1522.9575,8.811288,1091.4032115,422.063136,0.005785642737896494,0.7166340567612688,0.2771338898163606,0.44641068447412335,-0.1334533775559024,-0.6301993518609447,35061970302
1400000US35061970405,"Census Tract 9704.05, Valencia County, New Mexico","Valencia County, New Mexico",1487.628,8.643172,1070.548296,407.76336699999996,0.005810035842293907,0.7196344086021506,0.2741030465949821,0.4525089605734768,-0.1298253825850659,-0.6123708623234239,35061970405
1400000US35061970102,"Census Tract 9701.02, Valencia County, New Mexico","Valencia County, New Mexico",2976.6875,17.312659999999997,2144.3406175,813.682745,0.005816082474226803,0.7203781443298969,0.2733517525773196,0.45402061855670073,-0.12892606489734362,-0.6079514857489386,35061970102
1400000US35061971400,"Census Tract 9714, Valencia County, New Mexico","Valencia County, New Mexico",912.8999999999999,5.318447999999999,658.733604,248.43123599999996,0.005825882352941176,0.7215835294117648,0.2721341176470588,0.4564705882352941,-0.12746852549967982,-0.6007889273356399,35061971400
1400000US35043940900,"Census Tract 9409, Sandoval County, New Mexico","Sandoval County, New Mexico",914.345,8.323142,687.5999320000001,218.025999,0.009102846299810247,0.7520136622390893,0.23845047438330172,1.2757115749525618,-0.09067271796966238,-0.4026498493135394,35043940900
